sku,detalle,costo,venta,desde,hasta,empresa_id
40200000008,ALCOHOL 70# DIFEM PHARMA LT,1640,2394,1-9-2020,2-12-2020,1
40200000013,CIF CREMA 750GR UN,1866,2724,1-9-2020,2-12-2020,1
40200000018,CLORO GEL INGENIX 900ML UN,959,1400,1-9-2020,2-12-2020,1
40200000020,CLORO ROPA COLOR CLOROX 960CC UN,1828,2669,1-9-2020,2-12-2020,1
40200000026,DESINFEC. W.C. PAST.AZUL HARPIC 45GR,1278,1866,1-9-2020,2-12-2020,1
40200000029,DESODORANTE AMBIENTAL SAPOLI 360ML,910,1329,1-9-2020,2-12-2020,1
40200000032,DETERGENTE OMO 400GR,1059,1546,1-9-2020,2-12-2020,1
40200000093,ESCOBILLON PLASTICO PROASIN UN,947,1383,1-9-2020,2-12-2020,1
40200000097,ESPONJA AMARILLA C/FIBR.VERDE VANNI UN,223,326,1-9-2020,2-12-2020,1
40200000112,INSECTICIDA CASA JARDIN RAID 360CC UN,2488,3632,1-9-2020,2-12-2020,1
40200000120,LAVALOZA QUIX LIQUIDO 750ML,1929,2816,1-9-2020,2-12-2020,1
40200000121,LIMPIA PISO POET LAVANDA 900CCX12U,999,1459,1-9-2020,2-12-2020,1
40200000124,LIMPIA VIDRIO VIRGINIA 250CC,430,628,1-9-2020,2-12-2020,1
40200000125,LIMPIADOR 8M MEDITERRANEO DIVERSEY 5LT,4308,6290,1-9-2020,2-12-2020,1
40200000127,LUSTRA MUEBLES ARELA 250GRS UN,778,1136,1-9-2020,2-12-2020,1
40200000167,PA#O CELULOSA AMARILLO 3M VANNI UN,1764,2576,1-9-2020,2-12-2020,1
40200000168,PA#O CELULOSA AZUL 3M VANNI UN,1764,2576,1-9-2020,2-12-2020,1
40200000169,PA#O CELULOSA ROSADO 3M VANNI UN,1764,2576,1-9-2020,2-12-2020,1
40200000171,PA#O MULTIUSO AMARILLO VANNI UN,2088,3049,1-9-2020,2-12-2020,1
40200000186,"SUMA STAT PLUS D1 BAC DIVERSEY 1,5KG",8660,12644,1-9-2020,2-12-2020,1
40200000195,TRAPERO DOBLE C/OJAL VANNI UN,1010,1475,1-9-2020,2-12-2020,1
40200000198,VIRUTILLA PARRILLA SBRITE VANNI UN,667,974,1-9-2020,2-12-2020,1
40200000201,ALUSA FOIL ALUMINIO 30CM X100MT VANNI UN,3425,5001,1-9-2020,2-12-2020,1
40200000203,ALUSA PLAST FILM 28CM X300MT VANNI UN,3823,5582,1-9-2020,2-12-2020,1
40200000222,BOLSA BASURA 50X70CM VANNI UN,240,351,1-9-2020,2-12-2020,1
40200000223,BOLSA BASURA 70X90CM VANNI UN,420,613,1-9-2020,2-12-2020,1
40200000275,"CARBON 2,5KG AGUAS CLARAS UN",2340,3416,1-9-2020,2-12-2020,1
40200000328,GORRO COFIA DESECHABLE BLANCA VANNI UN,2490,3635,1-9-2020,2-12-2020,1
40200000333,GUANTES LATEX TALLA L VANNI UN,5916,8635,1-9-2020,2-12-2020,1
